"Austin, TX";"Longitude=97°48'48""West";"Latitude=+30°17'44""";"Time zone=CST"
"Moon";"Date Coord.";"";"";"";"";"";"";"";"";""
"4h30m UT";"RA";"DE";"Magn.";"Diam.";"Illum.";"Rise";"Culmination";"Set";"Az";"Alt"
"2021-03-06";" 17h08m21.9s";"-23°17'41""";"-10.0";"1904.3";"0.49";"  1h47m";"  7h00m";" 12h10m";"+96°29'";"-39°01'"
"2021-03-07";" 18h07m56.8s";"-24°59'44""";"-9.4";"1884.0";"0.38";"  2h50m";"  7h59m";" 13h06m";"+92°44'";"-51°39'"
"2021-03-08";" 19h07m22.6s";"-25°12'25""";"-8.8";"1864.6";"0.27";"  3h48m";"  8h57m";" 14h06m";"+85°52'";"-63°46'"
"2021-03-09";" 20h05m19.6s";"-23°59'03""";"-8.3";"1846.6";"0.18";"  4h40m";"  9h52m";" 15h08m";"+69°02'";"-74°47'"
"2021-03-10";" 21h00m45.3s";"-21°29'40""";"-7.4";"1830.2";"0.11";"  5h25m";" 10h45m";" 16h10m";"+15°20'";"-80°50'"
"2021-03-11";" 21h53m09.2s";"-17°58'28""";"-5.4";"1815.3";"0.05";"  6h04m";" 11h34m";" 17h10m";"+322°41'";"-74°49'"
"2021-03-12";" 22h42m34.2s";"-13°41'14""";"-1.7";"1802.0";"0.02";"  6h38m";" 12h20m";" 18h08m";"+306°11'";"-64°23'"
"2021-03-13";" 23h29m26.8s";"-08°53'14""";"0.0";"1790.3";"0.00";"  7h10m";" 13h04m";" 19h04m";"+299°18'";"-53°16'"
"2021-03-14";"  0h14m27.5s";"-03°48'27""";"0.0";"1780.5";"0.01";"  7h39m";" 13h46m";" 19h59m";"+295°27'";"-42°05'"
"2021-03-15";"  0h58m22.3s";"+01°20'50""";"-3.4";"1773.0";"0.03";"  9h07m";" 15h27m";" 21h53m";"+292°51'";"-30°57'"
"2021-03-16";"  1h41m59.0s";"+06°23'38""";"-6.8";"1768.3";"0.07";"  9h36m";" 16h08m";" 22h46m";"+290°49'";"-19°55'"
"2021-03-17";"  2h26m04.3s";"+11°09'54""";"-7.7";"1767.1";"0.13";" 10h06m";" 16h50m";" 23h41m";"+289°01'";"-08°59'"
"2021-03-18";"  3h11m21.4s";"+15°29'56""";"-8.3";"1770.0";"0.20";" 10h39m";" 17h34m";"      ";"+287°16'";"+01°35'"
"2021-03-19";"  3h58m27.8s";"+19°13'54""";"-8.9";"1777.6";"0.28";" 11h15m";" 18h21m";"  0h35m";"+285°24'";"+12°07'"
"2021-03-20";"  4h47m50.3s";"+22°11'29""";"-9.4";"1790.2";"0.37";" 11h56m";" 19h10m";"  1h31m";"+283°12'";"+22°54'"
"2021-03-21";"  5h39m39.0s";"+24°12'00""";"-9.8";"1808.2";"0.46";" 12h42m";" 20h01m";"  2h26m";"+280°24'";"+33°47'"
"2021-03-22";"  6h33m41.7s";"+25°05'10""";"-10.3";"1831.3";"0.56";" 13h35m";" 20h54m";"  3h20m";"+276°26'";"+44°47'"
"2021-03-23";"  7h29m23.2s";"+24°42'26""";"-10.7";"1858.9";"0.66";" 14h32m";" 21h47m";"  4h11m";"+270°06'";"+55°48'"
"2021-03-24";"  8h25m52.3s";"+22°58'54""";"-11.0";"1889.8";"0.75";" 15h34m";" 22h41m";"  4h59m";"+257°56'";"+66°28'"
"2021-03-25";"  9h22m17.2s";"+19°54'50""";"-11.3";"1922.0";"0.84";" 16h38m";" 23h34m";"  5h43m";"+228°57'";"+75°01'"
"2021-03-26";" 10h18m02.1s";"+15°36'37""";"-11.7";"1952.8";"0.91";" 17h44m";"      ";"  6h22m";"+176°18'";"+75°17'"
"2021-03-27";" 11h12m56.8s";"+10°16'40""";"-12.0";"1979.3";"0.96";" 18h51m";"  0h26m";"  7h00m";"+144°35'";"+66°16'"
"2021-03-28";" 12h07m17.6s";"+04°12'53""";"-12.5";"1998.4";"0.99";" 19h58m";"  1h17m";"  7h36m";"+131°14'";"+54°00'"
"2021-03-29";" 13h01m40.7s";"-02°12'20""";"-12.5";"2007.7";"1.00";" 21h07m";"  2h09m";"  8h12m";"+124°07'";"+40°42'"
"2021-03-30";" 13h56m52.0s";"-08°33'36""";"-12.1";"2006.2";"0.97";" 22h17m";"  3h02m";"  8h49m";"+119°24'";"+27°01'"
"2021-03-31";" 14h53m34.2s";"-14°24'29""";"-11.7";"1994.4";"0.92";" 23h27m";"  3h56m";"  9h30m";"+115°41'";"+13°18'"
"2021-04-01";" 15h52m12.1s";"-19°19'47""";"-11.3";"1974.0";"0.84";"      ";"  4h53m";" 10h14m";"+112°20'";"+00°12'"
"2021-04-02";" 16h52m37.6s";"-22°58'31""";"-11.0";"1947.9";"0.74";"  0h37m";"  5h52m";" 11h05m";"+108°54'";"-13°01'"
"2021-04-03";" 17h54m01.1s";"-25°06'41""";"-10.6";"1919.0";"0.64";"  1h44m";"  6h53m";" 12h00m";"+105°01'";"-25°53'"
"2021-04-04";" 18h55m00.5s";"-25°39'24""";"-10.1";"1889.6";"0.53";"  2h45m";"  7h52m";" 13h00m";"+100°07'";"-38°11'"
"2021-04-05";" 19h54m07.4s";"-24°41'14""";"-9.6";"1861.8";"0.42";"  3h39m";"  8h49m";" 14h02m";"+93°11'";"-49°46'"
"2021-04-06";" 20h50m16.3s";"-22°23'53""";"-9.1";"1836.7";"0.31";"  4h25m";"  9h42m";" 15h04m";"+82°08'";"-60°19'"
"2021-04-07";" 21h43m00.0s";"-19°02'50""";"-8.5";"1814.9";"0.22";"  5h05m";" 10h32m";" 16h04m";"+62°11'";"-68°49'"
"2021-04-08";" 22h32m27.3s";"-14°54'11""";"-7.9";"1796.7";"0.14";"  5h41m";" 11h18m";" 17h02m";"+27°59'";"-72°43'"
"2021-04-09";" 23h19m10.5s";"-10°12'53""";"-7.0";"1781.9";"0.08";"  6h12m";" 12h02m";" 17h58m";"+352°59'";"-69°39'"
"2021-04-10";"  0h03m54.2s";"-05°12'12""";"-4.1";"1770.5";"0.04";"  6h41m";" 12h44m";" 18h52m";"+332°05'";"-62°01'"
"2021-04-11";"  0h47m27.0s";"-00°03'53""";"0.0";"1762.1";"0.01";"  7h10m";" 13h24m";" 19h46m";"+320°28'";"-52°40'"
"2021-04-12";"  1h30m37.2s";"+05°01'24""";"0.0";"1756.8";"0.00";"  7h38m";" 14h05m";" 20h39m";"+313°10'";"-42°41'"
"2021-04-13";"  2h14m10.7s";"+09°53'31""";"-0.7";"1754.5";"0.01";"  8h07m";" 14h47m";" 21h34m";"+307°55'";"-32°27'"
"2021-04-14";"  2h58m49.0s";"+14°22'27""";"-4.4";"1755.5";"0.04";"  8h39m";" 15h31m";" 22h28m";"+303°42'";"-22°08'"
